FEI Number,Legal Name,State,Country/Area,Product Type,Action Taken Date,Action Type,Case/Injunction ID
1629960,"Sombra Cosmetics, Inc",New Mexico,United States,Drugs,2024-12-18,Warning Letter,692322
3007389902,Brands International Corporation,-,Canada,Drugs,2024-12-17,Warning Letter,689983
3017000602,AKRON FORMULATIONS INDIA PRIVATE LIMITED,-,India,Drugs,2024-12-17,Warning Letter,693938
3010589333,Right Value Drug Stores LLC,Texas,United States,Drugs,2024-12-17,Warning Letter,694687
3005340932,Skye Biologics Holdings LLC,California,United States,Biologics,2024-12-16,Warning Letter,654466
3005124189,Indoco Remedies Limited,-,India,Drugs,2024-12-16,Warning Letter,691594
3004107906,INCELL Corporation LLC,Texas,United States,Biologics,2024-12-13,Warning Letter,679023
3015521757,Xo Biologix,Texas,United States,Biologics,2024-12-13,Warning Letter,697717
3032610025,Xcel Research LLC,Wyoming,United States,Drugs,2024-12-10,Warning Letter,694608
3032428843,Veronvy,California,United States,Drugs,2024-12-10,Warning Letter,694688
3032711659,Prime Vitality Inc.,California,United States,Drugs,2024-12-10,Warning Letter,695156
3032615861,Summit Research,Alabama,United States,Drugs,2024-12-10,Warning Letter,695607
3032908529,Swisschems,New York,United States,Drugs,2024-12-10,Warning Letter,695663
3004513977,Micro Orgo Chem,-,India,Drugs,2024-12-03,Warning Letter,686458
3009155756,"Guangzhou Four E's Scientific Co., Ltd",-,China,Drugs,2024-12-03,Warning Letter,692061
3007255059,LCC Ltd.,-,-,Drugs,2024-11-22,Warning Letter,688576
3016665985,Dr. Brite LLC,California,United States,Drugs,2024-11-21,Warning Letter,684466
3014345294,Catwalk Cosmetic Laboratories Pty Ltd.,-,South Africa,Drugs,2024-11-21,Warning Letter,693863
3015892095,EUROSIREL S.P.A,-,Italy,Drugs,2024-11-20,Warning Letter,690733
3010461961,"Hangzhou Huiji Biotechnology Co., Ltd.",-,China,Drugs,2024-11-18,Warning Letter,692844
3013017711,CENTURA PHARMACEUTICALS INC,Florida,United States,Drugs,2024-11-15,Warning Letter,684733
3012557963,"Zhejiang Uniquality Nursing Products Technology Co., Ltd.",-,China,Drugs,2024-11-12,Warning Letter,690949
3018321301,"Zhejiang Qimei Cosmetics Co., Ltd.",-,China,Drugs,2024-11-08,Warning Letter,690950
3004420738,Originitalia SRL,-,Italy,Drugs,2024-11-07,Warning Letter,687935
3013514280,Unexo Life Sciences Private Limited,-,India,Drugs,2024-11-06,Warning Letter,688163
3003469576,"Richard W. Foltin, Ph.D.",New York,United States,Drugs,2024-11-06,Warning Letter,690189
3010165406,Multaler Et Cie S.A.S.,-,France,Drugs,2024-11-05,Warning Letter,685009
1218077,"Tom's of Maine, Inc.",Maine,United States,Drugs,2024-11-05,Warning Letter,687043
3018748915,Frontier Biologics LLC,Texas,United States,Biologics,2024-11-01,Warning Letter,686059
3006283468,"Tianjin Darentang Jingwanhong Pharmaceutical Co., Ltd.",-,China,Drugs,2024-10-30,Warning Letter,683619
3011851548,ACMH Hospital IRB,Pennsylvania,United States,Drugs,2024-10-29,Warning Letter,692080
3031667118,Fancy drops Beauty LLC,Colorado,United States,Drugs,2024-10-24,Warning Letter,688469
3019167311,MedOffice Saglik Endustri Anonim Sirketi,-,Turkey,Drugs,2024-10-23,Warning Letter,687586
3015097434,Choice All Natural Inc D,North Carolina,United States,Drugs,2024-10-21,Warning Letter,685615
3013927966,Diora Kimya Sanayi ve Ticaret Limited Sirketi,-,Turkey,Drugs,2024-10-17,Warning Letter,688271
3012598266,MOLECULAR TESTING LABS,Washington,United States,Biologics,2024-10-11,Warning Letter,680324
3018752619,"Namita A. Goyal, M.D.",California,United States,Biologics,2024-10-10,Warning Letter,677324
3007001714,Soliteint Cosmetics KFT,-,Hungary,Drugs,2024-10-10,Warning Letter,685146
3005057567,Analytical Food Laboratories Inc.,Texas,United States,Drugs,2024-10-10,Warning Letter,687513
3019769008,Hemarus LLC,Florida,United States,Biologics,2024-10-08,Warning Letter,688656
3017053743,"Hangzhou Glamcos Biotech Co., Ltd.",-,China,Drugs,2024-10-07,Warning Letter,692583
3008449456,Omni Lens Private Limited,-,India,Drugs,2024-10-02,Warning Letter,688151
3011545418,"Amnio Technology, LLC",Arizona,United States,Biologics,2024-10-01,Warning Letter,646460
3008927553,"Pinnacle Transplant Technologies, LLC",Arizona,United States,Biologics,2024-10-01,Warning Letter,646783
2310620,Louisiana State University Health Sciences Center IRB,Louisiana,United States,Drugs,2024-09-27,Warning Letter,686088
3019638306,MAKRA KOZMETIKA D.O.O.,-,Slovenia,Drugs,2024-09-26,Warning Letter,684125
3030026949,Hard Steel,Georgia,United States,Drugs,2024-09-26,Warning Letter,690510
3030619823,Supercore Products Group Inc.,Georgia,United States,Drugs,2024-09-26,Warning Letter,690510
3011572099,Outin Futures Corp,-,-,Drugs,2024-09-25,Warning Letter,684688
3014773352,MMC HEALTHCARE LTD.,-,India,Drugs,2024-09-24,Warning Letter,684644
3003395329,"Azurity Pharmaceuticals, Inc.",Massachusetts,United States,Drugs,2024-09-20,Warning Letter,656489
3017366969,Little Moon Essentials LLC,Florida,United States,Drugs,2024-09-17,Warning Letter,677260
3017569510,Quality CDMO,Texas,United States,Drugs,2024-09-11,Warning Letter,665961
3018061317,Aromas Para El Alma S.A.,-,Costa Rica,Drugs,2024-09-10,Warning Letter,672728
3011214285,EnviroServe Chemicals & Cleaners Ltd.,-,Canada,Drugs,2024-09-09,Warning Letter,674090
3012305678,Clean Solutions LLC,New Jersey,United States,Drugs,2024-09-06,Warning Letter,686995
3003994440,Diamond Chemical Co. Inc.,New Jersey,United States,Drugs,2024-09-06,Warning Letter,687078
3014583374,Avaria Health & Beauty Corp.,-,Canada,Drugs,2024-09-03,Warning Letter,685248
3030093357,"Root Bioscience, Inc.",North Carolina,United States,Drugs,2024-08-30,Warning Letter,673646
3010999645,Orean Personal Care Ltd,-,United Kingdom,Drugs,2024-08-29,Warning Letter,682813
3013712903,Zydus Lifesciences Limited,-,India,Drugs,2024-08-29,Warning Letter,685224
3030378326,Naturistas Especializados,-,Mexico,Drugs,2024-08-27,Warning Letter,682383
3030379079,Al Natural eShop,California,United States,Drugs,2024-08-27,Warning Letter,682383
3031206650,MexHealth LLC,California,United States,Drugs,2024-08-27,Warning Letter,682383
3030905367,SoloVital,California,United States,Drugs,2024-08-27,Warning Letter,688046
3016957698,EVERYMARKET INC,Missouri,United States,Drugs,2024-08-27,Warning Letter,688348
3010164449,AnuMed International LLC,Arizona,United States,Drugs,2024-08-20,Warning Letter,674310
3030431122,Mother Stem Institute,Florida,United States,Biologics,2024-08-20,Warning Letter,680118
3014137184,J. Robert Flamini,Georgia,United States,Drugs,2024-08-20,Warning Letter,691123
3021091668,Kaylaan LLC,New York,United States,Drugs,2024-08-19,Warning Letter,681977
1000307669,Regenerative Biologics Inc.,Florida,United States,Biologics,2024-08-16,Warning Letter,672154
3011320041,"Regenerative Processing Plant, LLC",Florida,United States,Biologics,2024-08-16,Warning Letter,672154
1000122754,Accupack Midwest Inc,Ohio,United States,Drugs,2024-08-15,Warning Letter,680228
3008461619,Eugia Pharma Specialities Limited,-,India,Drugs,2024-08-15,Warning Letter,681905
3027059496,MEDIA NETWORKS SYDNEY PTY LIMITED,-,Australia,Drugs,2024-08-15,Warning Letter,687044
2516287,"Greco Gas, Inc.",Pennsylvania,United States,Drugs,2024-08-12,Warning Letter,683090
3005350897,Belleview 402 LLC,Florida,United States,Drugs,2024-08-06,Warning Letter,683081
3002657228,LS Promotions Inc.,New York,United States,Drugs,2024-08-05,Warning Letter,685889
3006010954,Guangzhou Baiyunshan Jingxiutang Pharmaceutical Co. Ltd.,-,China,Drugs,2024-08-01,Warning Letter,675823
3020703259,Carsgen Therapeutics Corporation,North Carolina,United States,Biologics,2024-07-26,Warning Letter,686504
3030575346,Matte Beauty,Florida,United States,Drugs,2024-07-25,Warning Letter,679463
3016994737,"Amazon.com, Inc.",Washington,United States,Drugs,2024-07-25,Warning Letter,679523
3030599243,Isis.Gold,Illinois,United States,Drugs,2024-07-25,Warning Letter,679948
3030604996,Repare Skincare,Massachusetts,United States,Drugs,2024-07-25,Warning Letter,680247
3030830526,Skin Beauty Solutions Inc,Minnesota,United States,Drugs,2024-07-25,Warning Letter,683006
3014706754,Walmart Fulfillment KY1 9074,Kentucky,United States,Drugs,2024-07-25,Warning Letter,683095
1120890,"Aerosol and Liquid Packaging, Inc.",Maryland,United States,Drugs,2024-07-24,Warning Letter,676746
3005274476,"Omega Tech Labs, LLC",Idaho,United States,Drugs,2024-07-23,Warning Letter,679700
2000044401,Velocity Pharma LLC,New York,United States,Drugs,2024-07-17,Warning Letter,676434
3010203410,TJA Health LLC,Illinois,United States,Drugs,2024-07-17,Warning Letter,678539
3005508657,"EyePoint Pharmaceuticals, Inc.",Massachusetts,United States,Drugs,2024-07-12,Warning Letter,679747
3014129013,Brassica Pharma Private Ltd,-,India,Drugs,2024-07-11,Warning Letter,679005
3007373503,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. (Huanghe Road Site)",-,China,Drugs,2024-07-11,Warning Letter,679790
3009721234,Nowrez & Ismail Shukri Company,-,Jordan,Drugs,2024-07-11,Warning Letter,682810
3004378804,Central Admixture Pharmacy Services Inc,California,United States,Drugs,2024-07-11,Warning Letter,687936
3030664884,Cholrem Pty Ltd,-,Australia,Drugs,2024-07-09,Warning Letter,684036
3030694317,Cholrem USA,Utah,United States,Drugs,2024-07-09,Warning Letter,684036
3014321771,"YangZhou SuXiang Medical Instrument Co., Ltd.",-,China,Drugs,2024-07-09,Warning Letter,686655
3008235829,Genuine Virgin Aloe Corp,California,United States,Drugs,2024-07-01,Warning Letter,679744
1000100754,Berkeley Biologics LLC,California,United States,Biologics,2024-06-28,Warning Letter,676984
3030805935,Ozempen.com,Arizona,United States,Drugs,2024-06-27,Warning Letter,684435
3013693278,"Rebom Co., Ltd.",-,-,Drugs,2024-06-26,Warning Letter,682811
1282959,MIT,Massachusetts,United States,Biologics,2024-06-21,Warning Letter,663218
3003320065,"Laboratorio Magnachem International, S.A.",-,-,Drugs,2024-06-21,Warning Letter,673796
3000215345,"New Mexico Lions Sight Conservation Foundation, Inc.",New Mexico,United States,Biologics,2024-06-21,Warning Letter,681776
1720129,"Optikem International, Inc.",Colorado,United States,Drugs,2024-06-20,Warning Letter,680264
3002088200,Max Chemical Inc,Puerto Rico,United States,Drugs,2024-06-20,Warning Letter,682037
3004561553,Sun Pharmaceutical Industries Limited,-,India,Drugs,2024-06-18,Warning Letter,677337
3005787511,Vegewax Candleworx Ltd.,-,Canada,Drugs,2024-06-14,Warning Letter,675099
3016693877,"Guangzhou Zuofun Cosmetics Co., Ltd",-,China,Drugs,2024-06-13,Warning Letter,677992
3008384335,"GFA Production Xiamen Co., Ltd.",-,China,Drugs,2024-06-13,Warning Letter,678364
3010683345,"Aqualex Co., Ltd.",-,-,Drugs,2024-06-12,Warning Letter,672292
3005698871,Landy International,-,China,Drugs,2024-06-12,Warning Letter,679066
3002556034,"ARG Laboratories, Inc.",Texas,United States,Drugs,2024-06-11,Warning Letter,670899
3010026101,"Ken Prima Cosmeceuticals, Sdn. Bhd.",-,Malaysia,Drugs,2024-06-10,Warning Letter,674266
3000718320,"Indiana Lions Eye Bank, Inc. (dbA VisionFirst Indiana Lions Eye Bank)",Indiana,United States,Biologics,2024-06-10,Warning Letter,680039
3027391357,"Angela D. Ritter, M.D.",Georgia,United States,Drugs,2024-06-07,Warning Letter,681999
3017270745,TCT NUTRACEUTICALS SDN BHD,-,Malaysia,Drugs,2024-06-06,Warning Letter,680743
3017371366,Neobiosis LLC,Florida,United States,Biologics,2024-06-05,Warning Letter,662985
3017151342,"YAHON ENTERPRISE CO., LTD",-,Vietnam,Drugs,2024-06-05,Warning Letter,675592
3015282935,"FANCYSTAGE, UNIPESSOAL, LDA.",-,Portugal,Drugs,2024-06-04,Warning Letter,678453
3002692859,Cosmetic Solutions LLC,Florida,United States,Drugs,2024-05-31,Warning Letter,670486
3025922936,"Konrad Rejdak, M.D.",-,Poland,Biologics,2024-05-29,Warning Letter,671405
3012821715,"Art of Beauty Company, Inc",Ohio,United States,Drugs,2024-05-22,Warning Letter,674144
3004117460,Aruba Aloe Balm N.V.,-,Aruba,Drugs,2024-05-13,Warning Letter,674911
3006731547,"Natuzen Co., Ltd.",-,-,Drugs,2024-05-03,Warning Letter,677942
3023815166,"Kevin R. Bender, M.D.",Florida,United States,Drugs,2024-05-02,Warning Letter,680072
3017871874,Akan Biosciences Inc,Maryland,United States,Biologics,2024-04-30,Warning Letter,654674
3027888319,2187954 ALBERTA INC.,-,Canada,Drugs,2024-04-30,Warning Letter,672166
3012281081,Grupo Quimico SRL,-,Uruguay,Drugs,2024-04-30,Warning Letter,674010
3013749236,Global Cosmetics (China) Company Limited,-,China,Drugs,2024-04-30,Warning Letter,677948
3005668178,Washington Fertility Center,Virginia,United States,Biologics,2024-04-30,Warning Letter,678931
3014759234,"Sani-Care Salon Products, Inc",Georgia,United States,Drugs,2024-04-24,Warning Letter,673747
3005939772,Dr. Sankunnis Ayurvedic Research Foundation Pvt Ltd,-,India,Drugs,2024-04-18,Warning Letter,678046
3013828269,ZEN ENTERPRISES LLC,Nevada,United States,Drugs,2024-04-18,Warning Letter,678407
2020372,"Westwood Laboratories, LLC.",California,United States,Drugs,2024-04-17,Warning Letter,674728
3005945400,Health Specialty,California,United States,Drugs,2024-04-15,Warning Letter,675475
3012590153,Northern VA Compounders PLLC,Virginia,United States,Drugs,2024-04-12,Warning Letter,671700
3012668529,"C&T Dream Co., Ltd.",-,-,Drugs,2024-04-11,Warning Letter,678300
3004540906,NATCO Pharma Limited,-,India,Drugs,2024-04-08,Warning Letter,672564
3010970108,"FirstCham Co., Ltd.",-,-,Drugs,2024-04-04,Warning Letter,672903
3017005720,"Jiangsu Meifan Biotechnology Co., Ltd.",-,China,Drugs,2024-04-03,Warning Letter,676562
3002815949,Stokes Healthcare Inc. dba Epicur Pharma,New Jersey,United States,Drugs,2024-04-02,Warning Letter,677624
3007709579,Seatex LLC,Texas,United States,Drugs,2024-04-01,Warning Letter,672951
3009590582,"Central Admixture Pharmacy Services, Inc.",Pennsylvania,United States,Drugs,2024-03-29,Warning Letter,674736
3011853060,Kilitch Healthcare India Limited,-,India,Drugs,2024-03-28,Warning Letter,672956
3002718545,"Vintage Chemical, Inc.",Indiana,United States,Drugs,2024-03-27,Warning Letter,673930
3018011294,Bodywell Natural Skin Care Inc.,-,Canada,Drugs,2024-03-27,Warning Letter,677099
3017200845,DERMAL SOURCE,Oregon,United States,Drugs,2024-03-25,Warning Letter,663632
3028005436,Painless Tattoo Cream Co.,Utah,United States,Drugs,2024-03-25,Warning Letter,666693
3015204327,INDELICARE DBA INK-EEZE,California,United States,Drugs,2024-03-25,Warning Letter,671656
3028008119,Mahoney Property Ltd,-,United Kingdom,Drugs,2024-03-25,Warning Letter,672467
3027980112,TKTX Company,-,China,Drugs,2024-03-25,Warning Letter,673879
3028143571,SeeNext Venture Ltd,Washington,United States,Drugs,2024-03-25,Warning Letter,674915
